Date,Price Open,Price Low,Price High,Price Close,Volume
2010-06-28,5136.816319448,4931.34366667,5342.288972226,4931.34366667,307501.0
2010-06-29,4931.34366667,4705.323748614,4931.34366667,4828.607340281,251397.0
2010-06-30,4828.607340281,4623.134687503,5034.079993059,4766.965544448,58484.0
2010-07-01,4766.965544448,4725.871013892,4828.607340281,4766.965544448,48639.0
2010-07-02,4766.965544448,4725.871013892,4972.438197225,4746.41827917,86605.0
2010-07-05,4746.41827917,4623.134687503,4746.41827917,4623.134687503,168058.0
2010-07-06,4623.134687503,4479.303830558,4623.134687503,4561.49289167,236480.0
2010-07-07,4725.871013892,4664.229218059,4787.512809725,4787.512809725,310652.0
2010-07-08,4787.512809725,4725.871013892,4910.796401392,4725.871013892,106203.0
2010-07-09,4725.871013892,4725.871013892,4890.249136114,4725.871013892,64039.0
2010-07-12,4725.871013892,4664.229218059,4828.607340281,4725.871013892,39311.0
2010-07-13,4725.871013892,4684.776483336,4808.060075003,4746.41827917,86778.0
2010-07-14,4746.41827917,4725.871013892,4890.249136114,4725.871013892,247693.0
2010-07-15,4725.871013892,4664.229218059,4808.060075003,4664.229218059,77990.0
2010-07-16,4664.229218059,4623.134687503,4725.871013892,4664.229218059,79290.0
2010-07-19,4664.229218059,4520.398361114,4725.871013892,4520.398361114,153831.0
2010-07-20,4520.398361114,4520.398361114,4623.134687503,4540.945626392,353391.0
2010-07-21,4746.4182791700005,4725.871013892,4766.965544448,4766.965544448,223242.0
2010-07-22,4910.796401392,4828.607340281,4992.985462503,4849.154605559,349389.0
2010-07-23,4849.154605559,4725.871013892,4849.154605559,4746.41827917,102316.0
2010-07-26,4746.41827917,4602.587422225,4746.41827917,4602.587422225,47903.0
2010-07-27,4602.587422225,4561.49289167,4705.323748614,4602.587422225,93759.0
2010-07-28,4602.587422225,4376.567504169,4602.587422225,4376.567504169,208715.0
2010-07-29,4376.567504169,4232.736647225,4376.567504169,4376.567504169,133531.0
2010-07-30,4376.567504169,4376.567504169,4582.040156947,4397.114769447,53055.0
2010-08-02,4397.114769447,4335.472973614,4479.303830558,4335.472973614,22209.0
2010-08-03,4335.472973614,4314.925708336,4417.662034725,4314.925708336,49547.0
2010-08-04,4232.736647225,4191.642116669,4273.831177781,4232.736647225,54079.0
2010-08-05,4232.736647225,4191.642116669,4294.378443058,4212.189381947,49455.0
2010-08-06,4212.189381947,4109.453055558,4232.736647225,4109.453055558,63740.0
2010-08-09,4109.453055558,3945.074933336,4109.453055558,3965.622198614,56184.0
2010-08-10,3842.338606947,3780.696811114,3903.98040278,3780.696811114,105249.0
2010-08-11,3780.696811114,3698.507750002,3883.433137502,3883.433137502,45234.0
2010-08-12,3780.6968111135,3698.507750002,3862.885872225,3698.507750002,85294.0
2010-08-13,3698.507750002,3595.771423613,3801.244076391,3698.507750002,44280.0
2010-08-16,3842.3386069465,3801.244076391,3883.433137502,3883.433137502,54424.0
2010-08-17,3883.433137502,3739.602280558,3903.98040278,3883.433137502,87008.0
2010-08-18,3883.433137502,3760.149545836,3903.98040278,3760.149545836,9442.0
2010-08-19,3760.149545836,3677.960484725,3780.696811114,3698.507750002,19839.0
2010-08-20,3698.507750002,3554.676893058,3698.507750002,3595.771423613,17378.0
2010-08-23,3595.771423613,3451.940566669,3677.960484725,3534.12962778,40496.0
2010-08-24,3400.5724034745,3369.751505558,3431.393301391,3369.751505558,61026.0
2010-08-25,3215.647015974,3205.373383335,3225.920648613,3205.373383335,76242.0
2010-08-26,3205.373383335,3205.373383335,3308.109709724,3308.109709724,64476.0
2010-08-27,3308.109709724,3205.373383335,3369.751505558,3369.751505558,96002.0
2010-08-30,3534.12962778,3534.12962778,3534.12962778,3534.12962778,80716.0
2010-08-31,3534.12962778,3513.582362502,3657.413219447,3636.865954169,39116.0
2010-09-01,3636.865954169,3513.582362502,3739.602280558,3595.771423613,51652.0
2010-09-06,3719.0550152805,3677.960484725,3760.149545836,3760.149545836,94644.0
2010-09-07,3760.149545836,3657.413219447,3903.98040278,3821.791341669,56149.0
2010-09-08,3821.791341669,3636.865954169,3903.98040278,3636.865954169,36470.0
2010-09-09,3719.0550152805,3657.413219447,3780.696811114,3698.507750002,107791.0
2010-09-10,3698.507750002,3534.12962778,3739.602280558,3534.12962778,64453.0
2010-09-13,3534.12962778,3369.751505558,3677.960484725,3595.771423613,46339.0
2010-09-14,3595.771423613,3575.224158336,3719.05501528,3575.224158336,24474.0
2010-09-15,3575.224158336,3513.582362502,3698.507750002,3595.771423613,14733.0
2010-09-16,3595.771423613,3431.393301391,3698.507750002,3595.771423613,13652.0
2010-09-17,3595.771423613,3575.224158336,3698.507750002,3595.771423613,45453.0
2010-09-20,3595.771423613,3554.676893058,3698.507750002,3698.507750002,100878.0
2010-09-21,3698.507750002,3616.318688891,3698.507750002,3657.413219447,26154.0
2010-09-22,3657.413219447,3554.676893058,3698.507750002,3657.413219447,7682.0
2010-09-23,3657.413219447,3534.12962778,3657.413219447,3616.318688891,32330.0
2010-09-24,3616.318688891,3554.676893058,3616.318688891,3575.224158336,14997.0
2010-09-27,3575.224158336,3534.12962778,3575.224158336,3534.12962778,16677.0
2010-09-28,3616.3186888915,3554.676893058,3677.960484725,3554.676893058,24739.0
