Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-29,3495.36674213,3495.36674213,3495.36674213,3495.36674213,75249.0
2007-01-02,3654.24704859,3654.24704859,3654.24704859,3654.24704859,676402.0
2007-01-03,3813.127355051,3813.127355051,3813.127355051,3813.127355051,392956.0
2007-01-04,3813.127355051,3813.127355051,4003.783722803,4003.783722803,90803.0
2007-01-05,4194.440090556,4194.440090556,4194.440090556,4194.440090556,150288.0
2007-01-08,4385.096458309,4385.096458309,4385.096458309,4385.096458309,418494.0
2007-01-09,4575.752826061,4575.752826061,4575.752826061,4575.752826061,315079.0
2007-01-10,4798.185255106,4798.185255106,4798.185255106,4798.185255106,887015.0
2007-01-11,5020.61768415,5020.61768415,5020.61768415,5020.61768415,285127.0
2007-01-12,5243.050113195,5243.050113195,5243.050113195,5243.050113195,97109.0
2007-01-15,5243.050113195,4988.841622858,5243.050113195,5084.169806735,393902.0
2007-01-16,5084.169806735,5020.61768415,5084.169806735,5020.61768415,539145.0
2007-01-17,5020.61768415,4798.185255106,5020.61768415,4798.185255106,846763.0
2007-01-18,4798.185255106,4798.185255106,5020.61768415,5020.61768415,338516.0
2007-01-19,5243.050113195,5243.050113195,5243.050113195,5243.050113195,542614.0
2007-01-22,5243.050113195,4988.841622858,5243.050113195,4988.841622858,373303.0
2007-01-23,4988.841622858,4925.289500274,5084.169806735,5084.169806735,377612.0
2007-01-24,5084.169806735,5052.393745442,5306.602235779,5052.393745442,230056.0
2007-01-25,5052.393745442,5052.393745442,5052.393745442,5052.393745442,153125.0
2007-01-26,5052.393745442,4925.289500274,5084.169806735,5084.169806735,122752.0
2007-01-29,5274.826174487,5243.050113195,5306.602235779,5306.602235779,428794.0
2007-01-30,5560.810726116,5560.810726116,5560.810726116,5560.810726116,211559.0
2007-01-31,5815.019216453,5815.019216453,5815.019216453,5815.019216453,179189.0
2007-02-01,5815.019216453,5815.019216453,6101.003768081,5815.019216453,244770.0
2007-02-02,5529.034664824,5529.034664824,5529.034664824,5529.034664824,209667.0
2007-02-05,5529.034664824,5401.930419655,5529.034664824,5401.930419655,363003.0
2007-02-06,5401.930419655,5401.930419655,5465.48254224,5401.930419655,241301.0
2007-02-07,5624.3628487000005,5592.586787408,5656.138909992,5656.138909992,234680.0
2007-02-08,5656.138909992,5401.930419655,5910.347400329,5401.930419655,250865.0
2007-02-09,5401.930419655,5147.721929319,5401.930419655,5401.930419655,370255.0
2007-02-12,5656.138909992,5656.138909992,5656.138909992,5656.138909992,194008.0
2007-02-13,5910.347400329,5910.347400329,5910.347400329,5910.347400329,282499.0
2007-02-14,6196.331951958,6196.331951958,6196.331951958,6196.331951958,346188.0
2007-02-15,6482.316503587,6482.316503587,6482.316503587,6482.316503587,368153.0
2007-02-26,6720.636963277,6672.972871339,6768.301055215,6768.301055215,83131.0
2007-02-27,7054.285606844,7022.509545552,7086.061668136,7086.061668136,76300.0
2007-02-28,7435.598342349,7435.598342349,7435.598342349,7435.598342349,295531.0
2007-03-01,7435.598342349,7181.389852012,7785.135016562,7181.389852012,295636.0
2007-03-02,7181.389852012,7181.389852012,7308.494097181,7308.494097181,198002.0
2007-03-05,7658.030771394,7658.030771394,7658.030771394,7658.030771394,333681.0
2007-03-06,7658.030771394,7658.030771394,7658.030771394,7658.030771394,144297.0
2007-03-07,7658.030771394,7276.718035889,7658.030771394,7276.718035889,20283.0
2007-03-08,6958.957422968,6927.181361676,6990.73348426,6927.181361676,83972.0
2007-03-09,6927.181361676,6927.181361676,6927.181361676,6927.181361676,191696.0
2007-03-12,7244.941974597,7244.941974597,7244.941974597,7244.941974597,180661.0
2007-03-13,7244.941974597,6895.405300384,7244.941974597,6895.405300384,84392.0
2007-03-14,6577.644687463,6577.644687463,6577.644687463,6577.644687463,98895.0
2007-03-15,6291.660135833999,6259.884074542,6323.436197126,6259.884074542,109405.0
2007-03-16,6259.884074542,5973.899522913,6545.868626171,6545.868626171,143562.0
2007-03-19,6545.868626171,6259.884074542,6831.853177799,6259.884074542,139673.0
2007-03-20,6259.884074542,6259.884074542,6482.316503587,6259.884074542,186441.0
2007-03-21,6116.8917987275,6037.451645497,6196.331951958,6196.331951958,134208.0
2007-03-22,6196.331951958,6069.227706789,6196.331951958,6196.331951958,177087.0
2007-03-23,6196.331951958,6196.331951958,6196.331951958,6196.331951958,109720.0
2007-03-26,6196.331951958,6196.331951958,6259.884074542,6259.884074542,298159.0
2007-03-27,6085.1157374355,5973.899522913,6196.331951958,5973.899522913,85338.0
2007-03-28,5703.80300193,5687.914971284,5719.691032576,5719.691032576,110982.0
2007-03-29,6005.675584205,6005.675584205,6005.675584205,6005.675584205,130845.0
2007-03-30,6005.675584205,6005.675584205,6259.884074542,6005.675584205,179715.0
2007-04-02,6005.675584205,5719.691032576,6005.675584205,5719.691032576,142300.0
2007-04-03,5719.691032576,5560.810726116,5719.691032576,5719.691032576,66841.0
2007-04-04,5624.3628487000005,5560.810726116,5687.914971284,5560.810726116,165422.0
2007-04-05,5672.026940637999,5624.3628487,5719.691032576,5624.3628487,87545.0
2007-04-06,5386.0423890090005,5370.154358363,5401.930419655,5401.930419655,145453.0
2007-04-09,5401.930419655,5370.154358363,5529.034664824,5370.154358363,42879.0
2007-04-10,5592.586787408,5560.810726116,5624.3628487,5624.3628487,234155.0
