Date,Price Open,Price Low,Price High,Price Close,Volume
2009-12-17,6297.5939609025,5597.86129858,6997.326623225,6344.242805057,553260.0
2009-12-18,6344.242805057,6064.349740128,6344.242805057,6064.349740128,580587.0
2009-12-22,6344.242805057,6064.349740128,6530.838181677,6064.349740128,105378.0
2009-12-23,6064.349740128,5971.052051819,6297.593960903,6204.296272593,303706.0
2009-12-24,6204.296272593,6017.700895974,6250.945116748,6250.945116748,101996.0
2009-12-25,6250.945116748,5971.052051819,6344.242805057,6344.242805057,353105.0
2009-12-28,6344.242805057,6157.647428438,6530.838181677,6157.647428438,101357.0
2009-12-29,6157.647428438,6064.349740128,6250.945116748,6250.945116748,84723.0
2009-12-30,6250.945116748,6110.998584283,6250.945116748,6204.296272593,261618.0
2009-12-31,6204.296272593,6157.647428438,6484.189337522,6250.945116748,395740.0
2010-01-08,7510.463908928,7183.921999844,7883.654662167,7183.921999844,1349357.0
2010-01-11,7183.921999844,6904.028934915,7370.517376464,7090.624311535,605538.0
2010-01-12,7090.624311535,6904.028934915,7370.517376464,6904.028934915,295617.0
2010-01-13,6904.028934915,6577.487025832,7137.27315569,6997.326623225,597632.0
2010-01-14,6997.326623225,6810.731246606,7090.624311535,6997.326623225,271991.0
2010-01-15,6997.326623225,6717.433558296,6997.326623225,6764.082402451,362564.0
2010-01-18,6764.082402451,6437.540493367,6764.082402451,6437.540493367,400767.0
2010-01-19,6437.540493367,6437.540493367,6670.784714141,6624.135869986,211853.0
2010-01-20,6624.135869986,6530.838181677,6670.784714141,6530.838181677,249965.0
2010-01-21,6530.838181677,6250.945116748,6530.838181677,6297.593960903,657633.0
2010-01-22,6297.593960903,6157.647428438,6344.242805057,6157.647428438,269615.0
2010-01-25,6157.647428438,5971.052051819,6344.242805057,6250.945116748,125028.0
2010-01-27,6530.838181677,6437.540493367,6810.731246606,6484.189337522,362061.0
2010-01-29,6717.433558296,6437.540493367,6810.731246606,6530.838181677,357446.0
2010-02-01,6530.838181677,6390.891649212,6577.487025832,6577.487025832,94182.0
2010-02-02,6577.487025832,6484.189337522,6624.135869986,6530.838181677,42635.0
2010-02-03,6530.838181677,6344.242805057,6670.784714141,6530.838181677,338710.0
2010-02-04,6530.838181677,6530.838181677,6717.433558296,6530.838181677,118996.0
2010-02-05,6530.838181677,6437.540493367,6530.838181677,6530.838181677,219759.0
2010-02-08,6530.838181677,6390.891649212,6530.838181677,6390.891649212,80564.0
2010-02-09,6390.891649212,6250.945116748,6437.540493367,6437.540493367,152675.0
2010-02-10,6437.540493367,6390.891649212,6437.540493367,6390.891649212,36786.0
2010-02-11,6390.891649212,6344.242805057,6437.540493367,6390.891649212,36603.0
2010-02-22,6577.487025832,6437.540493367,6624.135869986,6577.487025832,114472.0
2010-02-24,6390.891649212,6297.593960903,6390.891649212,6390.891649212,25225.0
2010-02-25,6390.891649212,6344.242805057,6530.838181677,6530.838181677,109856.0
2010-02-26,6530.838181677,6390.891649212,6530.838181677,6437.540493367,36877.0
2010-03-01,6437.540493367,6437.540493367,6484.189337522,6484.189337522,32719.0
2010-03-02,6484.189337522,6437.540493367,6484.189337522,6437.540493367,111821.0
2010-03-03,6437.540493367,6390.891649212,6484.189337522,6484.189337522,23671.0
2010-03-05,6717.433558296,6577.487025832,6764.082402451,6577.487025832,143947.0
2010-03-08,6577.487025832,6577.487025832,6810.731246606,6717.433558296,137092.0
2010-03-09,6717.433558296,6577.487025832,6764.082402451,6764.082402451,209980.0
2010-03-10,6764.082402451,6577.487025832,6810.731246606,6577.487025832,130100.0
2010-03-11,6577.487025832,6577.487025832,6717.433558296,6717.433558296,205547.0
2010-03-12,6717.433558296,6577.487025832,6764.082402451,6717.433558296,274688.0
2010-03-15,6717.433558296,6670.784714141,6810.731246606,6717.433558296,160901.0
2010-03-17,6624.135869986,6530.838181677,6624.135869986,6530.838181677,224237.0
2010-03-19,6624.135869986,6624.135869986,6717.433558296,6717.433558296,199149.0
2010-03-22,6717.433558296,6530.838181677,6717.433558296,6530.838181677,137001.0
2010-03-23,6530.838181677,6437.540493367,6530.838181677,6437.540493367,33404.0
2010-03-25,6624.135869986,6437.540493367,6624.135869986,6437.540493367,51135.0
2010-03-26,6437.540493367,6437.540493367,6577.487025832,6484.189337522,41219.0
2010-03-29,6484.189337522,6437.540493367,6577.487025832,6437.540493367,60092.0
2010-03-30,6437.540493367,6344.242805057,6437.540493367,6437.540493367,217200.0
2010-04-02,7043.97546738,6904.028934915,7137.27315569,7043.97546738,1324223.0
2010-04-05,7043.97546738,7043.97546738,7230.570843999,7230.570843999,404012.0
2010-04-06,7230.570843999,7137.27315569,7277.219688154,7137.27315569,341178.0
2010-04-07,7137.27315569,6997.326623225,7137.27315569,7043.97546738,626422.0
2010-04-08,7043.97546738,7043.97546738,7183.921999844,7183.921999844,485490.0
2010-04-09,7183.921999844,7183.921999844,7510.463908928,7463.815064773,882694.0
2010-04-13,7837.005818012,7557.112753083,7837.005818012,7790.356973857,713338.0
2010-04-14,7790.356973857,7650.410441393,7930.303506322,7930.303506322,882008.0
2010-04-15,7930.303506322,7837.005818012,8023.601194631,8023.601194631,821230.0
2010-04-16,8023.601194631,7883.654662167,8023.601194631,7930.303506322,523237.0
2010-04-19,7930.303506322,7603.761597238,7930.303506322,7650.410441393,582004.0
2010-04-20,7650.410441393,7603.761597238,7837.005818012,7697.059285548,636155.0
2010-04-21,7697.059285548,7697.059285548,7883.654662167,7883.654662167,503221.0
2010-04-22,7883.654662167,7883.654662167,8070.250038786,7976.952350477,500114.0
2010-04-27,7790.356973857,7697.059285548,7837.005818012,7743.708129702,252753.0
2010-04-28,7743.708129702,7697.059285548,7837.005818012,7697.059285548,544257.0
2010-04-29,7697.059285548,7650.410441393,7837.005818012,7837.005818012,791938.0
2010-05-07,9003.226921883,8630.036168644,9143.173454347,8909.929233573,987021.0
