Date,Price Open,Price Low,Price High,Price Close,Volume
2007-09-20,24504.981108742497,21770.009346326,27239.952871159,23050.598131404,818534.0
2007-09-21,23050.598131404,22867.656876393,23782.363151449,23215.245260914,394100.0
2007-09-24,23215.245260914,23050.598131404,23782.363151449,23196.951135413,354858.0
2007-09-25,23196.951135413,22959.127503899,23416.480641426,23379.892390424,667587.0
2007-09-26,23379.892390424,23160.362884411,23599.421896438,23233.539386415,607882.0
2007-09-28,23507.951268932,23416.480641426,25703.246329066,25703.246329066,308635.0
2007-10-03,30551.189586861,30185.307076839,33478.249667039,31100.013351894,1239357.0
2007-10-04,31100.013351894,31100.013351894,32014.71962695,31795.190120937,873906.0
2007-10-05,31795.190120937,29636.483311805,34832.014954122,30734.130841872,461749.0
2007-10-08,30734.130841872,29636.483311805,32197.660881961,30002.365821828,511584.0
2007-10-10,29636.483311805,29453.542056794,30953.660347886,30752.424967373,728977.0
2007-10-11,30752.424967373,30734.130841872,31374.425234411,30825.601469378,426601.0
2007-10-12,30825.601469378,30057.248198331,31100.013351894,30514.601335859,322599.0
2007-10-15,30514.601335859,30167.012951338,31100.013351894,30734.130841872,702013.0
2007-10-16,30734.130841872,30276.777704344,30917.072096883,30459.718959355,1253321.0
2007-10-17,30459.718959355,30185.307076839,32014.71962695,30551.189586861,786756.0
2007-10-18,30551.189586861,29471.836182295,30551.189586861,29801.130441315,472101.0
2007-10-19,29801.130441315,29453.542056794,30551.189586861,30368.24833185,677698.0
2007-10-22,30368.24833185,29746.248064812,30459.718959355,29746.248064812,481009.0
2007-10-23,29746.248064812,29270.600801783,30148.718825837,29270.600801783,1114651.0
2007-10-24,29270.600801783,28904.718291761,29965.777570825,29270.600801783,1423528.0
2007-10-25,29270.600801783,29270.600801783,29636.483311805,29362.071429289,1416065.0
2007-10-26,29362.071429289,29179.130174277,32344.01388597,29453.542056794,709236.0
2007-10-29,29453.542056794,27624.129506683,29856.012817819,27624.129506683,363525.0
2007-10-30,27624.129506683,27441.188251672,28447.365154233,27990.012016705,547214.0
2007-10-31,27990.012016705,26800.893859133,28154.659146215,27166.776369155,496898.0
2007-11-01,27166.776369155,26910.658612139,29270.600801783,29087.659546772,526269.0
2007-11-02,29087.659546772,28081.482644211,30514.601335859,28447.365154233,473064.0
2007-11-06,27532.658879177,26983.835114144,27624.129506683,27441.188251672,468250.0
2007-11-07,27441.188251672,27166.776369155,27990.012016705,27441.188251672,362322.0
2007-11-08,27441.188251672,26306.952470602,27441.188251672,26746.011482629,406137.0
2007-11-09,26746.011482629,25428.834446549,26892.364486638,25959.364086081,518565.0
2007-11-12,25959.364086081,25245.893191538,26526.481976616,25337.363819043,344025.0
2007-11-13,25337.363819043,23050.598131404,25410.540321048,23782.363151449,461990.0
2007-11-16,26800.893859133,25977.658211582,27422.89412617,26599.65847862,479324.0
2007-11-20,25758.128705569,25245.893191538,25794.716956571,25282.48144254,269153.0
2007-11-21,25282.48144254,24514.128171493,25428.834446549,24934.893058019,373637.0
2007-11-22,24934.893058019,24861.716556014,25611.77570156,25154.422564032,449231.0
2007-11-23,25154.422564032,25081.246062028,25611.77570156,25209.304940536,261449.0
2007-11-26,25209.304940536,25154.422564032,25428.834446549,25428.834446549,282394.0
2007-11-27,25428.834446549,25154.422564032,25794.716956571,25227.599066037,322117.0
2007-11-28,25227.599066037,25062.951936527,25520.305074055,25172.716689533,248208.0
2007-11-29,25172.716689533,25154.422564032,25337.363819043,25209.304940536,170447.0
2007-11-30,25209.304940536,24880.010681516,25245.893191538,25154.422564032,172614.0
2007-12-03,25154.422564032,24880.010681516,25392.246195547,25245.893191538,145169.0
2007-12-04,25245.893191538,25154.422564032,25428.834446549,25245.893191538,340414.0
2007-12-05,25245.893191538,24788.54005401,25337.363819043,24880.010681516,241467.0
2007-12-06,24880.010681516,24514.128171493,25062.951936527,24532.422296994,229189.0
2007-12-07,24532.422296994,24148.245661471,24953.18718352,24660.481175502,234726.0
2007-12-12,23361.598264923,22703.009746883,23965.30440646,23416.480641426,221485.0
2007-12-13,23416.480641426,22885.951001894,23526.245394433,23142.06875891,165632.0
2007-12-14,23142.06875891,22703.009746883,23142.06875891,22885.951001894,204874.0
