Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-28,1684.213643977,1684.213643977,1684.213643977,1684.213643977,2781.0
2006-12-29,1684.213643977,1684.213643977,1768.424326175,1768.424326175,92.0
2007-01-02,1768.424326175,1768.424326175,1768.424326175,1768.424326175,0.0
2007-01-03,1768.424326175,1768.424326175,1852.635008374,1852.635008374,92.0
2007-01-04,1852.635008374,1852.635008374,1936.845690573,1936.845690573,92.0
2007-01-05,1936.845690573,1936.845690573,2021.056372772,2021.056372772,92.0
2007-01-08,2021.056372772,2021.056372772,2122.109191411,2122.109191411,92.0
2007-01-09,2122.109191411,2122.109191411,2223.162010049,2223.162010049,5098.0
2007-01-10,2223.162010049,2223.162010049,2324.214828688,2324.214828688,185.0
2007-01-11,2324.214828688,2324.214828688,2425.267647326,2425.267647326,92.0
2007-01-12,2425.267647326,2425.267647326,2543.162602405,2543.162602405,92.0
2007-01-15,2543.162602405,2543.162602405,2661.057557483,2661.057557483,463.0
2007-01-16,2661.057557483,2661.057557483,2778.952512561,2778.952512561,463.0
2007-01-17,2778.952512561,2778.952512561,2913.68960408,2913.68960408,2781.0
2007-01-18,2913.68960408,2913.68960408,3048.426695598,3048.426695598,9270.0
2007-01-19,3048.426695598,3048.426695598,3200.005923556,3200.005923556,185.0
2007-01-22,3200.005923556,3200.005923556,3351.585151513,3351.585151513,2781.0
2007-01-23,3351.585151513,3351.585151513,3503.164379471,3503.164379471,22990.0
2007-01-24,3503.164379471,3503.164379471,3671.585743869,3671.585743869,1854.0
2007-01-25,3671.585743869,3671.585743869,3840.007108267,3840.007108267,10382.0
2007-01-29,4008.428472664,4008.428472664,4176.849837062,4176.849837062,37266.0
2007-01-30,4176.849837062,4176.849837062,4378.955474339,4378.955474339,4635.0
2007-01-31,4378.955474339,4378.955474339,4547.376838737,4547.376838737,648.0
2007-02-01,4547.376838737,4547.376838737,4749.482476014,4749.482476014,278.0
2007-02-05,4985.272386171,4985.272386171,5221.062296327,5221.062296327,185.0
2007-02-06,5221.062296327,5221.062296327,5456.852206484,5456.852206484,370.0
2007-02-07,5456.852206484,5456.852206484,5726.32638952,5726.32638952,6489.0
2007-02-13,6568.433211509,6568.433211509,6871.591667425,6871.591667425,41716.0
2007-02-14,6871.591667425,6871.591667425,7208.43439622,7208.43439622,14832.0
2007-02-26,7545.277125015,7545.277125015,7915.80412669,7915.80412669,4635.0
2007-02-27,7915.80412669,7915.80412669,8286.331128365,8286.331128365,185.0
2007-02-28,8286.331128365,8286.331128365,8690.542402919,8690.542402919,4542.0
2007-03-01,8690.542402919,8690.542402919,9094.753677474,9094.753677474,5562.0
2007-03-06,10004.229045221,10004.229045221,10475.808865535,10475.808865535,5562.0
2007-03-07,10475.808865535,10475.808865535,10981.072958727,10981.072958727,6025.0
2007-03-12,12092.653963752,12092.653963752,12665.286602704,12665.286602704,8528.0
2007-03-13,12665.286602704,12665.286602704,13271.603514536,13271.603514536,14276.0
2007-03-15,13911.604699247,13911.604699247,14585.290156837,14585.290156837,6396.0
2007-03-19,15292.659887308,14551.605883958,16033.713890657,14551.605883958,87141.0
2007-04-04,16134.766709296,16000.029617778,16134.766709296,16000.029617778,157224.0
2007-04-05,16000.029617778,16000.029617778,16000.029617778,16000.029617778,191988.0
2007-04-06,16000.029617778,16000.029617778,16134.766709296,16134.766709296,101417.0
2007-04-12,18560.034356622,17886.348899032,19469.50972437,17886.348899032,414847.0
2007-04-13,17886.348899032,17886.348899032,18526.350083743,18526.350083743,103271.0
2007-04-16,18526.350083743,17818.980353273,18863.192812538,17818.980353273,170574.0
2007-04-18,17178.979168561,17178.979168561,18021.08599055,18021.08599055,103735.0
2007-05-04,17280.0319872,17212.526382481,17381.276641133,17381.276641133,66004.0
2007-05-15,22477.534452416,22477.534452416,23591.286159518,23591.286159518,9363.0
2007-05-24,31387.579496809,31387.579496809,32906.333343429,32906.333343429,92.0
2007-05-28,34526.33744649,34526.33744649,36247.591805993,36247.591805993,339.0
2007-05-29,36247.591805993,36247.591805993,37968.846165495,37968.846165495,30.0
2007-05-30,37968.846165495,37968.846165495,39791.350781439,39791.350781439,309.0
2007-06-11,55485.140529844,52751.383605928,58218.897453759,58218.897453759,273814.0
