Date,Price Open,Price Low,Price High,Price Close,Volume
2008-12-22,13685.2563142145,13243.796433111,14126.716195318,14126.716195318,9012.0
2008-12-31,18541.315006355,18541.315006355,19277.081474861,18541.315006355,289045.0
2009-01-05,17658.395244148,16775.47548194,17952.70183155,17952.70183155,402102.0
2009-01-06,17952.70183155,17511.241950446,18099.855125251,17952.70183155,229236.0
2009-01-07,17952.70183155,17805.548537849,18541.315006355,17952.70183155,415605.0
2009-01-08,17952.70183155,17511.241950446,17952.70183155,17658.395244148,388663.0
2009-01-09,17658.395244148,17511.241950446,17952.70183155,17952.70183155,216210.0
2009-01-14,17511.241950446,17364.088656745,17658.395244148,17658.395244148,188981.0
2009-01-15,17658.395244148,17364.088656745,17658.395244148,17364.088656745,62547.0
2009-01-16,17364.088656745,17216.935363044,17658.395244148,17658.395244148,153599.0
2009-01-19,17658.395244148,17511.241950446,17658.395244148,17658.395244148,131083.0
2009-01-20,17658.395244148,17364.088656745,17658.395244148,17658.395244148,94235.0
2009-01-21,17658.395244148,17511.241950446,17658.395244148,17658.395244148,128949.0
2009-01-22,17658.395244148,17658.395244148,17805.548537849,17805.548537849,91433.0
2009-01-23,17805.548537849,17658.395244148,17805.548537849,17805.548537849,43758.0
2009-02-02,17805.548537849,17658.395244148,17805.548537849,17658.395244148,137770.0
2009-02-03,17658.395244148,17364.088656745,17658.395244148,17364.088656745,170509.0
2009-02-04,17364.088656745,17069.782069343,17511.241950446,17069.782069343,45668.0
2009-02-05,17069.782069343,16334.015600836,17069.782069343,16334.015600836,156369.0
2009-02-06,16334.015600836,16186.862307135,16481.168894538,16481.168894538,61019.0
2009-02-10,17216.935363044,16775.47548194,17216.935363044,17069.782069343,57261.0
2009-02-11,17069.782069343,16628.322188239,17069.782069343,17069.782069343,90414.0
2009-02-12,17069.782069343,17069.782069343,17805.548537849,17805.548537849,491657.0
2009-02-16,17216.935363044,17069.782069343,17216.935363044,17069.782069343,72293.0
2009-02-17,17069.782069343,16481.168894538,17069.782069343,16481.168894538,154618.0
2009-02-19,15892.555719733,15451.095838629,16186.862307135,15745.402426032,169713.0
2009-02-26,14656.468052642,14126.716195318,15009.635957525,15009.635957525,43439.0
2009-02-27,15009.635957525,14715.329370123,15451.095838629,15303.942544928,21687.0
2009-03-02,15303.942544928,14715.329370123,15451.095838629,14862.482663824,79936.0
2009-03-06,15156.789251227,14715.329370123,15156.789251227,15156.789251227,39012.0
2009-03-10,15892.555719733,15892.555719733,16481.168894538,15892.555719733,209777.0
2009-03-11,15892.555719733,15745.402426032,16039.709013434,15892.555719733,90828.0
2009-03-12,15892.555719733,15451.095838629,15892.555719733,15892.555719733,88630.0
2009-03-13,15892.555719733,15598.24913233,15892.555719733,15598.24913233,117802.0
2009-03-16,15598.24913233,15451.095838629,15745.402426032,15598.24913233,93471.0
2009-03-18,15892.555719733,15892.555719733,16481.168894538,16186.862307135,321433.0
2009-03-19,16186.862307135,15598.24913233,16186.862307135,15892.555719733,94840.0
2009-03-20,15892.555719733,15598.24913233,15892.555719733,15892.555719733,74649.0
2009-03-23,15892.555719733,15451.095838629,15892.555719733,15451.095838629,50987.0
2009-03-24,15451.095838629,14715.329370123,16039.709013434,15451.095838629,184809.0
