Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-28,4718.438995333,4718.438995333,4718.438995333,4718.438995333,12807.0
2006-12-29,4718.438995333,4482.517045566,4718.438995333,4482.517045566,63043.0
2007-01-02,4482.517045566,4258.391193288,4482.517045566,4258.391193288,28.0
2007-01-03,4258.391193288,4046.061438498,4258.391193288,4046.061438498,28.0
2007-01-04,4046.061438498,3845.527781196,4046.061438498,4046.061438498,41745.0
2007-01-05,4046.061438498,4010.673146033,4046.061438498,4010.673146033,12779.0
2007-01-08,4010.673146033,4010.673146033,4069.653633474,4069.653633474,9229.0
2007-01-09,4069.653633474,4069.653633474,4187.614608358,4128.634120916,3436.0
2007-01-10,4128.634120916,4128.634120916,4128.634120916,4128.634120916,13290.0
2007-01-11,4128.634120916,4057.857535986,4128.634120916,4057.857535986,8547.0
2007-01-12,4057.857535986,3857.323878684,4057.857535986,3857.323878684,11330.0
2007-01-15,3857.323878684,3857.323878684,3857.323878684,3857.323878684,0.0
2007-01-16,3857.323878684,3668.586318871,3857.323878684,3668.586318871,9371.0
2007-01-17,3668.586318871,3668.586318871,3668.586318871,3668.586318871,17038.0
2007-01-22,4010.673146033,4010.673146033,4211.206803334,4211.206803334,5963.0
2007-01-23,4211.206803334,4211.206803334,4211.206803334,4211.206803334,6275.0
2007-01-25,4010.673146033,3810.139488731,4010.673146033,3810.139488731,35213.0
2007-01-26,3810.139488731,3810.139488731,3833.731683708,3833.731683708,8519.0
2007-01-30,4010.673146033,4010.673146033,4010.673146033,4010.673146033,2896.0
2007-01-31,4010.673146033,3810.139488731,4010.673146033,3810.139488731,24365.0
2007-02-01,3810.139488731,3810.139488731,3810.139488731,3810.139488731,567.0
2007-02-05,3668.586318871,3668.586318871,3845.527781196,3774.751196266,9825.0
2007-02-06,3774.751196266,3774.751196266,3774.751196266,3774.751196266,141.0
2007-02-07,3774.751196266,3774.751196266,3774.751196266,3774.751196266,5225.0
2007-02-08,3774.751196266,3656.790221383,3774.751196266,3774.751196266,4288.0
2007-02-09,3774.751196266,3586.013636453,3774.751196266,3656.790221383,3407.0
2007-02-12,3656.790221383,3656.790221383,3833.731683708,3833.731683708,6275.0
2007-02-13,3833.731683708,3833.731683708,4022.469243521,4010.673146033,10223.0
2007-02-14,4010.673146033,3892.712171149,4010.673146033,3892.712171149,1760.0
2007-02-15,3892.712171149,3892.712171149,3892.712171149,3892.712171149,9939.0
2007-02-26,3892.712171149,3892.712171149,4081.449730963,4081.449730963,11330.0
